Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Silva Lda / Faktura 1001;6550.00;;106550.00
2026-01-20;Innbetaling fra Pereira Lda / Faktura 1002;8375.00;;114925.00
2026-01-21;Innbetaling fra Costa Lda / Faktura 1003;6875.00;;121800.00
2026-01-22;Innbetaling fra Sousa Lda / Faktura 1004;18437.50;;140237.50
2026-01-24;Innbetaling fra Santos Lda / Faktura 1005;12062.50;;152300.00
2026-01-25;Betaling Fornecedor Martins Lda;;-11550.00;140750.00
2026-01-28;Betaling Fornecedor Costa Lda;;-15250.00;125500.00
2026-01-30;Betaling Fornecedor Martins Lda;;-14300.00;111200.00
2026-02-01;Skattetrekk;637.07;;111837.07
2026-02-03;Renteinntekter;1159.41;;112996.48
2026-02-05;Skattetrekk;68.11;;113064.59
